,dv,1,2,3,4,5,6,7,8,9,10
0,1.02,0.29521167278289795,0.3506745994091034,0.3439064621925354,0.3227403163909912,0.38262051343917847,0.4100249409675598,0.35284292697906494,0.3188234567642212,0.31491637229919434,0.38892698287963867
1,1.02,0.6111265420913696,0.9616798162460327,0.7874215245246887,0.5829366445541382,1.3989620208740234,1.4162635803222656,0.8048651218414307,0.8189666271209717,0.6679500937461853,1.076567530632019
2,1.02,0.448552668094635,0.6135881543159485,0.4806646704673767,0.482243150472641,1.427541971206665,0.9291098117828369,0.5633512139320374,0.594997763633728,0.487756609916687,0.800324559211731
3,1.02,0.21953290700912476,0.25117242336273193,0.25381404161453247,0.2522701621055603,0.5566180944442749,0.4110323190689087,0.20965422689914703,0.2578650414943695,0.21412885189056396,0.3875654637813568
4,1.02,0.6350263953208923,0.6976747512817383,0.5410383939743042,0.3811197280883789,0.9711776375770569,0.6063945293426514,0.6061825752258301,0.5699295997619629,0.5035797357559204,0.44798022508621216
5,1.02,0.39795780181884766,0.5605491995811462,0.5592707395553589,0.5486364364624023,0.8459043502807617,1.0910346508026123,0.48074865341186523,0.5238533616065979,0.527305543422699,0.9541667699813843
6,1.02,0.17993545532226562,0.21172668039798737,0.21656259894371033,0.14915333688259125,0.18559417128562927,0.22379441559314728,0.14048856496810913,0.19469448924064636,0.19275811314582825,0.18913637101650238
7,1.02,0.29269328713417053,0.29262402653694153,0.33059245347976685,0.2812398672103882,0.48486655950546265,0.4072470963001251,0.2605007290840149,0.3213362693786621,0.3151910901069641,0.3500674068927765
8,1.02,0.29266467690467834,0.3606452941894531,0.3110817074775696,0.3002086281776428,0.37661415338516235,0.4043431282043457,0.3432524800300598,0.2671806216239929,0.303366482257843,0.3886887729167938
9,1.02,0.25917649269104004,0.24103817343711853,0.23749233782291412,0.24547606706619263,0.32607176899909973,0.24569562077522278,0.26682591438293457,0.2725861072540283,0.2692253291606903,0.2550145983695984
10,1.02,0.3901450037956238,0.528457522392273,0.5174225568771362,0.7974320650100708,0.788770854473114,0.7097200751304626,0.6612396240234375,0.48258358240127563,0.48703473806381226,0.9759203195571899
11,1.02,0.3565281927585602,0.34577256441116333,0.3222041726112366,0.37462881207466125,0.7410864233970642,0.43667083978652954,0.3124164938926697,0.47971925139427185,0.41884398460388184,0.4785814881324768
12,1.02,0.24295732378959656,0.32234907150268555,0.2174828052520752,0.5351544618606567,0.8002395033836365,0.5131518244743347,0.26605337858200073,0.34799936413764954,0.30750662088394165,0.8274734616279602
13,1.02,0.4793131351470947,0.7047696113586426,0.7057441473007202,0.760481059551239,0.6287116408348083,0.8418263792991638,0.7835041284561157,0.6142945289611816,0.7047410011291504,0.542203426361084
14,1.02,0.15630683302879333,0.31476372480392456,0.2111586332321167,0.41869914531707764,0.6352011561393738,0.45728084444999695,0.2470921277999878,0.22971896827220917,0.24219976365566254,0.6681691408157349
15,1.02,0.38504454493522644,0.5298969149589539,0.4955754578113556,0.5535222887992859,0.48715049028396606,0.49542587995529175,0.605898380279541,0.4637315273284912,0.5225545167922974,0.3755538761615753
16,1.02,0.3051164746284485,0.26631706953048706,0.25541818141937256,0.31622496247291565,0.4789718985557556,0.3044758439064026,0.2935621738433838,0.34096506237983704,0.33477669954299927,0.3933574855327606
17,1.02,0.288424015045166,0.3373293876647949,0.375110924243927,0.37510302662849426,0.433003693819046,0.36526480317115784,0.3327503204345703,0.291422039270401,0.32845625281333923,0.3706800937652588
18,1.02,0.24494634568691254,0.2491006851196289,0.2486010640859604,0.25184112787246704,0.2573893070220947,0.24546948075294495,0.2576129138469696,0.248615562915802,0.2501133680343628,0.2507210969924927
19,1.02,0.6511175632476807,0.9036216735839844,0.7890757322311401,0.5418658256530762,0.6764470338821411,0.7482525706291199,0.603074848651886,0.597499668598175,0.5741207599639893,0.777104377746582
20,1.02,1.5651785135269165,1.8622486591339111,1.6538697481155396,1.0155035257339478,1.256758213043213,1.6467077732086182,1.1352952718734741,1.1880496740341187,1.1646625995635986,1.695036768913269
21,1.02,1.959484577178955,2.716078281402588,2.350471258163452,1.6204330921173096,1.836364507675171,2.2455649375915527,1.711561679840088,1.7826710939407349,1.7289292812347412,2.304363250732422
22,1.02,1.030928134918213,1.2026524543762207,0.9127064943313599,1.0466110706329346,1.0319359302520752,0.9005248546600342,0.9496175050735474,0.9712597131729126,0.9293169379234314,0.98435378074646
23,1.02,0.9585946202278137,1.0852251052856445,1.0046677589416504,0.6091828346252441,0.8376777172088623,0.9649993181228638,0.6859424710273743,0.7055755853652954,0.6572039723396301,0.9761862754821777
24,1.02,0.7239506244659424,0.9929940700531006,0.7826690673828125,0.7590120434761047,0.8079268932342529,0.7675789594650269,0.732516348361969,0.7441778779029846,0.731412947177887,0.836337685585022
25,1.02,0.6993278861045837,0.9127684831619263,0.7954944968223572,0.5692976713180542,0.6984987258911133,0.7832430005073547,0.643028736114502,0.620629072189331,0.6287542581558228,0.8219871520996094
26,1.02,0.5835017561912537,0.517621636390686,0.4473428726196289,0.4668968617916107,0.8001644015312195,0.4632260203361511,0.4635639190673828,0.4394603371620178,0.45917224884033203,0.5148285627365112
