0.7909 	0.4530 	0.9459 	0.5641 
0.9544 	0.6926 	0.6834 	0.2809 
0.4094 	0.2021 	0.2383 	0.2504 
0.9291 	0.5210 	0.4550 	0.3131 
0.8918 	0.4915 	0.7408 	0.3578 
0.8415 	0.6171 	0.0948 	0.0081 
0.9271 	0.6138 	0.6929 	0.4290 
0.4605 	0.3444 	0.1325 	0.0937 
0.1720 	0.0220 	0.8305 	0.4757 
0.7087 	0.2546 	0.8821 	0.6059 
0.6794 	0.2796 	0.9098 	0.5831 
0.2450 	0.1111 	0.2363 	0.0187 
0.6964 	0.4719 	0.9522 	0.6342 
0.8840 	0.4107 	0.7946 	0.5792 
0.9560 	0.6363 	0.9185 	0.6944 
0.9285 	0.6977 	0.5676 	0.2456 
0.6669 	0.2093 	0.8166 	0.3835 
0.5508 	0.4384 	0.2399 	0.0545 
0.7751 	0.3535 	0.6961 	0.3659 
0.9752 	0.5935 	0.6930 	0.2883 
0.6913 	0.3177 	0.8591 	0.5705 
0.7427 	0.2837 	0.8607 	0.6991 
0.9622 	0.7883 	0.8516 	0.6060 
0.7569 	0.3779 	0.3677 	0.0830 
0.8989 	0.4795 	0.9212 	0.5335 
0.5080 	0.2619 	0.9253 	0.6450 
0.9413 	0.6666 	0.7075 	0.3132 
0.8541 	0.5536 	0.9733 	0.5820 
0.9237 	0.5566 	0.8482 	0.6460 
0.5242 	0.1809 	0.5835 	0.3966 
0.7454 	0.4800 	0.6541 	0.4305 
0.8135 	0.5098 	0.7925 	0.4672 
0.8975 	0.6166 	0.8238 	0.4270 
0.8657 	0.6828 	0.6147 	0.4034 
0.7583 	0.3768 	0.8775 	0.5272 
0.9558 	0.7463 	0.8274 	0.3934 
0.3321 	0.1253 	0.8580 	0.6946 
0.8235 	0.5898 	0.6691 	0.4384 
0.9651 	0.5866 	0.7576 	0.4765 
0.7326 	0.3489 	0.6001 	0.3383 
0.9370 	0.7408 	0.6009 	0.3631 
0.7221 	0.4255 	0.6540 	0.3044 
0.6644 	0.4578 	0.8340 	0.4132 
0.9114 	0.7028 	0.8084 	0.3896 
0.9957 	0.6631 	0.7283 	0.3422 
0.9346 	0.7353 	0.6102 	0.2590 
0.8611 	0.6421 	0.6215 	0.2981 
0.5908 	0.2356 	0.8114 	0.4498 
0.9779 	0.7581 	0.8647 	0.4345 
0.7346 	0.3271 	0.6872 	0.2376 
0.9822 	0.8719 	0.8443 	0.3613 
0.9448 	0.6519 	0.7959 	0.3743 
0.1994 	0.2685 	0.9793 	0.7179 
0.9529 	0.7263 	0.6408 	0.4074 
0.3164 	0.0966 	0.7926 	0.5006 
0.8072 	0.4630 	0.9229 	0.4744 
0.9303 	0.8485 	0.7696 	0.3539 
0.4699 	0.2416 	0.4910 	0.1681 
0.4434 	0.4050 	0.9206 	0.6060 
0.8098 	0.7085 	0.0791 	0.0720 
0.7518 	0.3401 	0.4334 	0.2597 
0.9177 	0.7170 	0.8684 	0.5110 
0.5349 	0.2674 	0.3508 	0.1409 
0.9070 	0.5582 	0.3903 	0.1272 
0.8428 	0.5071 	0.7728 	0.4108 
0.3809 	0.3149 	0.1148 	0.0286 
0.7952 	0.4939 	0.6353 	0.2584 
0.8585 	0.5830 	0.4624 	0.3622 
0.4799 	0.3158 	0.7739 	0.3645 
0.7980 	0.4736 	0.6981 	0.3920 
0.9022 	0.5646 	0.8975 	0.4225 
0.8902 	0.6001 	0.6699 	0.3711 
0.1870 	0.2037 	0.4562 	0.2327 
0.7339 	0.4414 	0.6212 	0.1738 
0.1593 	0.0913 	0.5660 	0.3329 
0.2740 	0.1651 	0.1255 	0.1555 
0.9425 	0.7544 	0.6899 	0.4019 
0.3159 	0.2089 	0.9335 	0.5347 
0.9568 	0.6744 	0.7817 	0.4630 
0.1106 	0.1094 	0.7921 	0.5946 
0.4458 	0.1872 	0.7965 	0.4963 
0.0023 	0.0170 	0.7841 	0.4794 
0.8367 	0.3836 	0.8434 	0.4629 
0.7673 	0.4887 	0.4618 	0.1416 
0.8698 	0.5418 	0.6422 	0.2361 
0.3389 	0.0766 	0.9763 	0.7476 
0.7339 	0.3573 	0.9556 	0.7377 
0.8935 	0.7499 	0.7239 	0.4227 
0.7627 	0.3528 	0.6873 	0.3901 
0.8625 	0.7310 	0.6182 	0.3269 
0.2082 	0.1743 	0.8185 	0.5185 
0.3803 	0.1909 	0.8700 	0.5470 
0.2194 	0.1237 	0.7729 	0.5563 
0.8957 	0.5861 	0.8530 	0.4564 
0.7939 	0.4590 	0.0028 	0.0059 
0.8032 	0.4125 	0.8536 	0.4897 
0.8177 	0.3921 	0.9487 	0.8724 
0.9094 	0.4322 	0.9852 	0.8077 
0.9152 	0.5372 	0.9818 	0.6091 
0.5017 	0.1887 	0.9861 	0.8530 
0.8079 	0.3353 	0.9376 	0.3353 
0.8140 	0.5387 	0.9573 	0.5387 
0.6717 	0.5294 	0.6145 	0.5294 
0.8369 	0.5515 	0.7263 	0.5515 
0.5631 	0.2323 	0.9593 	0.2323 
0.9082 	0.5926 	0.9159 	0.5926 
0.5169 	0.2805 	0.6772 	0.2805 
0.4738 	0.2708 	0.8025 	0.2708 
0.6446 	0.3902 	0.8174 	0.3902 
0.9701 	0.6477 	0.8670 	0.6477 
0.3525 	0.1536 	0.8260 	0.1536 
0.7865 	0.5118 	0.2103 	0.5118 
0.6109 	0.2913 	0.8993 	0.2913 
0.4849 	0.2701 	0.9038 	0.2701 
0.6736 	0.3849 	0.7031 	0.3849 
0.8702 	0.4563 	0.0019  0.4563 
0.0755 	0.0342 	0.8501 	0.0342 
0.9263 	0.5296 	0.2409 	0.5296 
0.9176 	0.5582 	0.5943 	0.5582 
0.7216 	0.4578 	0.6694 	0.4578 
0.7315 	0.5572 	0.2399 	0.5572 
0.4626 	0.2855 	0.2620 	0.2855 
0.7372 	0.3592 	0.8977 	0.3592 
0.2482 	0.2212 	0.9575 	0.2212 
0.9093 	0.5158 	0.9390 	0.5158 
0.9476 	0.6265 	0.9602 	0.6265 
0.6140 	0.3471 	0.7406 	0.3471 
0.4674 	0.2017 	0.9026 	0.2017 
0.9149 	0.6460 	0.9864 	0.6460 
0.7700 	0.4691 	0.9504 	0.4691 
0.7418 	0.3101 	0.8472 	0.3101 
